iter	Passed	Remaining
0	5	5261
1	12	6195
2	20	6675
3	27	6837
4	35	7038
5	42	7056
6	50	7216
7	57	7191
8	65	7263
9	73	7238
10	80	7245
11	87	7244
12	95	7236
13	102	7244
14	110	7234
15	117	7223
16	124	7221
17	132	7236
18	139	7221
19	147	7205
20	154	7187
21	161	7197
22	169	7183
23	177	7213
24	184	7198
25	192	7202
26	199	7184
27	206	7185
28	213	7164
29	222	7201
30	230	7189
31	237	7179
32	244	7168
33	252	7170
34	259	7156
35	266	7141
36	274	7133
37	281	7124
38	288	7111
39	295	7099
40	303	7099
41	310	7086
42	318	7096
43	326	7085
44	334	7098
45	341	7084
46	349	7096
47	357	7080
48	365	7086
49	372	7072
50	379	7063
51	387	7062
52	394	7044
53	401	7033
54	409	7035
55	416	7025
56	424	7019
57	431	7003
58	438	6991
59	445	6983
60	452	6972
61	460	6973
62	468	6964
63	476	6962
64	483	6948
65	490	6945
66	497	6934
67	505	6928
68	512	6920
69	520	6912
70	527	6903
71	535	6899
72	542	6887
73	549	6879
74	556	6867
75	563	6850
76	570	6843
77	578	6834
78	586	6832
79	593	6824
80	602	6832
81	608	6807
82	617	6821
83	623	6801
84	631	6800
85	638	6788
86	646	6783
87	652	6763
88	658	6742
89	664	6723
90	670	6702
91	677	6687
92	683	6670
93	690	6651
94	696	6631
95	702	6612
96	709	6604
97	715	6588
98	722	6576
99	728	6558
100	734	6542
101	741	6531
102	747	6510
103	753	6491
104	759	6472
105	766	6466
106	772	6448
107	778	6428
108	784	6412
109	790	6394
110	795	6374
111	802	6364
112	808	6345
113	814	6328
114	821	6319
115	827	6302
116	834	6295
117	840	6280
118	846	6269
119	852	6253
120	859	6240
121	865	6230
122	871	6215
123	878	6205
124	884	6190
125	890	6177
126	897	6169
127	903	6156
128	910	6148
129	916	6135
130	923	6123
131	929	6113
132	935	6099
133	942	6088
134	948	6075
135	954	6064
136	961	6057
137	967	6045
138	976	6045
139	983	6041
140	991	6040
141	998	6031
142	1006	6031
143	1014	6030
144	1022	6030
145	1029	6023
146	1037	6021
147	1044	6015
148	1051	6003
149	1058	5998
150	1064	5985
151	1071	5977
152	1077	5966
153	1084	5959
154	1091	5948
155	1097	5938
156	1103	5927
157	1110	5915
158	1117	5909
159	1123	5897
160	1129	5887
161	1136	5876
162	1142	5866
163	1149	5858
164	1155	5846
165	1162	5839
166	1168	5827
167	1175	5820
168	1181	5809
169	1187	5798
170	1194	5792
171	1201	5781
172	1207	5773
173	1213	5761
174	1220	5752
175	1226	5741
176	1232	5731
177	1239	5722
178	1245	5711
179	1251	5700
180	1257	5690
181	1263	5680
182	1270	5673
183	1277	5663
184	1283	5654
185	1289	5645
186	1296	5635
187	1303	5630
188	1309	5618
189	1315	5609
190	1321	5598
191	1327	5587
192	1334	5581
193	1341	5571
194	1347	5561
195	1352	5548
196	1359	5540
197	1366	5534
198	1372	5523
199	1378	5515
200	1384	5504
201	1390	5494
202	1397	5487
203	1404	5481
204	1411	5473
205	1418	5467
206	1424	5457
207	1431	5448
208	1437	5439
209	1444	5432
210	1450	5423
211	1457	5417
212	1463	5407
213	1469	5397
214	1475	5388
215	1481	5378
216	1488	5371
217	1494	5362
218	1502	5357
219	1508	5347
220	1514	5338
221	1522	5336
222	1529	5328
223	1537	5325
224	1543	5316
225	1550	5309
226	1557	5304
227	1563	5295
228	1570	5288
229	1576	5278
230	1583	5272
231	1590	5263
232	1596	5254
233	1602	5245
234	1608	5237
235	1616	5232
236	1623	5226
237	1630	5220
238	1636	5211
239	1643	5204
240	1650	5198
241	1657	5192
242	1664	5184
243	1670	5174
244	1676	5167
245	1683	5159
246	1689	5150
247	1695	5141
248	1701	5132
249	1708	5126
250	1714	5115
251	1720	5105
252	1726	5098
253	1732	5089
254	1739	5081
255	1745	5072
256	1751	5064
257	1757	5054
258	1763	5045
259	1770	5038
260	1776	5030
261	1782	5021
262	1788	5012
263	1794	5004
264	1801	4995
265	1807	4986
266	1814	4980
267	1820	4971
268	1827	4966
269	1834	4960
270	1840	4951
271	1847	4945
272	1853	4937
273	1860	4928
274	1866	4921
275	1873	4913
276	1879	4906
277	1885	4897
278	1891	4888
279	1898	4881
280	1904	4872
281	1911	4866
282	1917	4858
283	1924	4851
284	1930	4843
285	1936	4835
286	1943	4828
287	1949	4819
288	1956	4812
289	1962	4804
290	1968	4796
291	1974	4788
292	1980	4780
293	1987	4771
294	1993	4764
295	1999	4756
296	2006	4749
297	2012	4741
298	2019	4735
299	2026	4727
300	2034	4724
301	2040	4716
302	2046	4708
303	2053	4701
304	2059	4693
305	2066	4686
306	2072	4678
307	2078	4670
308	2084	4662
309	2090	4653
310	2097	4647
311	2104	4639
312	2110	4632
313	2117	4625
314	2123	4617
315	2130	4612
316	2137	4604
317	2143	4597
318	2149	4589
319	2155	4580
320	2161	4572
321	2168	4565
322	2174	4557
323	2180	4549
324	2186	4540
325	2193	4535
326	2199	4527
327	2207	4523
328	2214	4516
329	2222	4511
330	2228	4503
331	2234	4495
332	2240	4487
333	2246	4479
334	2253	4472
335	2259	4465
336	2266	4459
337	2272	4451
338	2278	4443
339	2285	4436
340	2291	4428
341	2298	4421
342	2304	4413
343	2310	4405
344	2317	4399
345	2323	4391
346	2329	4383
347	2335	4375
348	2341	4367
349	2348	4360
350	2354	4353
351	2360	4345
352	2366	4337
353	2372	4328
354	2378	4321
355	2384	4314
356	2391	4306
357	2397	4299
358	2403	4291
359	2410	4285
360	2418	4280
361	2425	4274
362	2431	4266
363	2436	4257
364	2442	4250
365	2448	4241
366	2454	4233
367	2460	4225
368	2466	4217
369	2473	4212
370	2479	4203
371	2486	4196
372	2491	4188
373	2497	4180
374	2504	4174
375	2510	4166
376	2517	4159
377	2523	4151
378	2529	4143
379	2535	4136
380	2541	4128
381	2547	4121
382	2553	4114
383	2559	4106
384	2566	4100
385	2572	4092
386	2579	4085
387	2585	4077
388	2591	4070
389	2598	4064
390	2604	4056
391	2610	4048
392	2617	4042
393	2623	4035
394	2630	4028
395	2636	4021
396	2644	4016
397	2649	4008
398	2656	4001
399	2662	3993
400	2668	3985
401	2675	3979
402	2681	3971
403	2687	3965
404	2694	3958
405	2700	3950
406	2707	3945
407	2713	3937
408	2719	3930
409	2725	3922
410	2731	3915
411	2738	3908
412	2744	3900
413	2750	3893
414	2757	3886
415	2763	3879
416	2769	3872
417	2776	3865
418	2783	3859
419	2789	3852
420	2796	3846
421	2802	3839
422	2809	3832
423	2816	3825
